Series ID,Category,Train Size,Test Size,Model,Train Time (s),Predict Time (s),Trend Strength,Seasonality Strength,Noise Level,MAE,RMSE,MAPE,sMAPE
M14092,Micro,159,18,TCN,6.9844911098480225,0.8890349864959717,0.9848589478323084,-0.0036878278301273,290.6578731086848,2860.073784722222,3079.5496975267147,41.392870618613685,33.357410927980006
M14245,Micro,272,18,ARIMA,0.022047996520996,0.0021071434020996,0.9988785268175304,0.027321163204483,16.031631258922864,98.67011082094623,119.37864960536945,4.262108591032727,4.397411497104689
M14245,Micro,272,18,SARIMA,0.3674638271331787,0.0021100044250488,0.9988785268175304,0.027321163204483,16.031631258922864,50.32729579076661,59.43113931831927,2.179603993767692,2.211343014031307
M14245,Micro,272,18,Holt-Winters,0.0509071350097656,0.0016210079193115,0.9988785268175304,0.027321163204483,16.031631258922864,36.36275861151838,41.60263937051087,1.5823954358280046,1.595056610088275
M14245,Micro,272,18,DLM,0.0728440284729003,0.0010931491851806,0.9988785268175304,0.027321163204483,16.031631258922864,99.314216550291,119.8790322039416,4.290757439616078,4.427101749365121
M14245,Micro,272,18,RNN,5.513296127319336,1.4545719623565674,0.9988785268175304,0.027321163204483,16.031631258922864,2266.328427258465,2267.4606768515,99.89856554394694,199.5949676210839
M14245,Micro,272,18,LSTM,2.6843199729919434,1.3361883163452148,0.9988785268175304,0.027321163204483,16.031631258922864,2267.907469948133,2269.00878839272,99.96954426959049,199.87824881474697
M14245,Micro,272,18,GRU,3.77816104888916,1.7644457817077637,0.9988785268175304,0.027321163204483,16.031631258922864,2267.2632236464156,2268.3812360870497,99.94039687278628,199.76186656134436
M14245,Micro,272,18,TCN,8.148316144943237,1.6306068897247314,0.9988785268175304,0.027321163204483,16.031631258922864,15.674148220486131,21.153621813234412,0.7028580349449244,0.7000997224934723
M14263,Micro,272,18,ARIMA,0.111346960067749,0.0042622089385986,0.992096108073084,-0.0772360150779558,98.5048887131751,136.40442772166378,180.13631871762735,2.904310239844086,2.8854762080809335
M14263,Micro,272,18,SARIMA,0.4926798343658447,0.0024969577789306,0.992096108073084,-0.0772360150779558,98.5048887131751,230.97852377000228,284.9064826455507,5.014387735935525,4.827326075239021
M14263,Micro,272,18,Holt-Winters,0.0794072151184082,0.0032219886779785,0.992096108073084,-0.0772360150779558,98.5048887131751,358.8399010952092,410.27568161841543,7.720727989147674,7.3444184822922445
M14263,Micro,272,18,DLM,0.0903069972991943,0.0012848377227783,0.992096108073084,-0.0772360150779558,98.5048887131751,140.1879297032659,180.8333870825462,2.983597126213642,2.965033996962664
M14263,Micro,272,18,RNN,4.034281969070435,1.9285130500793457,0.992096108073084,-0.0772360150779558,98.5048887131751,4711.073976847861,4714.37712064513,99.91899822390988,199.67630210688853
M14263,Micro,272,18,LSTM,3.678514003753662,1.804158926010132,0.992096108073084,-0.0772360150779558,98.5048887131751,4713.617267956336,4716.922730009419,99.9729235160186,199.89173710433408
M14263,Micro,272,18,GRU,3.864185094833374,2.544912815093994,0.992096108073084,-0.0772360150779558,98.5048887131751,4713.194346295462,4716.499271237395,99.96396226106974,199.85592498334688
M14263,Micro,272,18,TCN,7.859698057174683,0.658541202545166,0.992096108073084,-0.0772360150779558,98.5048887131751,458.073486328125,521.6052001054437,9.805833803215595,9.21479980846298
